code,parent,title
MKP_HOCKEY_STICKS,MKP_HOCKEY,"Crosses, manches, palettes Hockey sur glace "
MKP_HOCKEY_PUCKS_CAGES,MKP_HOCKEY,Palets et cages 
MKP_HOCKEY_PG,MKP_HOCKEY,Protections Hockey 
MKP_HOCKEY_JERSEYS,MKP_HOCKEY,Maillots Hockey 
MKP_HOCKEY_CLOTHING,MKP_HOCKEY,Vêtements Hockey 
MKP_HOCKEY_GOALIE,MKP_HOCKEY,Equipement du gardien 
MKP_HOCKEY_BAGS_LUGAGE,MKP_HOCKEY,Sacs hockey 
MKP_HOCKEY_ACCESS,MKP_HOCKEY,Accessoires Hockey 
MKP_ICE_SKATING,MKP_ICE_SPORTS,Patinage 
MKP_ICE_SKATING_FIGURESKATES,MKP_ICE_SKATING,Patins patinage 
MKP_ICE_SKATING_SHOES,MKP_ICE_SKATING,Bottines patinage 
MKP_ICE_SKATING_BLADES,MKP_ICE_SKATING,Lames patinage 
MKP_ICE_SKATING_CLOTHING,MKP_ICE_SKATING,Vêtements Patinage 
MKP_ICE_SKATING_ACCESS,MKP_ICE_SKATING,Accessoires patinage 
MKP_COMBAT_SPORTS,MKP_SPORTS_AND_RECREATION,Sports de combat 
MKP_BOXING,MKP_COMBAT_SPORTS,Boxe 
MKP_BOXING_TRAINING_EQPT,MKP_BOXING,Matériel d'entrainement 
MKP_BOXING_PUNCHING_EQPT,MKP_BOXING,Matériel de frappe 
MKP_BOXING_CLOTHING,MKP_BOXING,Vêtements de boxe 
MKP_BOXING_GLOVES,MKP_BOXING,Gants de boxe 
MKP_BOXING_EQPT_PG,MKP_BOXING,Équipement et Protections boxe 
MKP_BOXING_ACCESS,MKP_BOXING,Accessoires de boxe 
MKP_KARATE,MKP_COMBAT_SPORTS,Karaté 
MKP_KARATE_BELTS,MKP_KARATE,Ceintures karaté 
MKP_KARATE_SUIT,MKP_KARATE,Kimonos Karaté 
MKP_KARATE_ADULT_SUIT,MKP_KARATE,Kimono karaté adulte 
MKP_KARATE_KIDS_SUIT,MKP_KARATE,Kimono karaté enfant 
MKP_KARATE_PG,MKP_KARATE,Protections karaté 
MKP_KARATE_ACCESS,MKP_KARATE,Accessoires karaté 
MKP_JUDO_JUJITSU,MKP_COMBAT_SPORTS,"Judo, Ju- Jitsu"
MKP_JUDO_JUJITSU_BELTS,MKP_JUDO_JUJITSU,"Ceintures Judo, Ju-Jitsu "
MKP_JUDO_JUJITSU_SUIT,MKP_JUDO_JUJITSU,Kimonos Judo 
MKP_JUDO_JUJITSU_ADULT_SUIT,MKP_JUDO_JUJITSU,Kimonos adulte 
MKP_JUDO_JUJITSU_KIDS_SUIT,MKP_JUDO_JUJITSU,Kimonos Enfant 
MKP_JUDO_JUJITSU_ACCESS,MKP_JUDO_JUJITSU,Accessoires judo 
MKP_TAEKWONDO,MKP_COMBAT_SPORTS,Taekwondo 
MKP_TAEKWONDO_DOBOKS,MKP_TAEKWONDO,Doboks et ceintures Taekwondo 
MKP_TAEKWONDO_SHOES,MKP_TAEKWONDO,Chaussures Taekwondo 
MKP_TAEKWONDO_BAGS_LUGAGE,MKP_TAEKWONDO,"Sacs, Bagagerie "
MKP_TAEKWONDO_PG,MKP_TAEKWONDO,Protections Taekwondo
MKP_TAEKWONDO_FLOOR_MATS,MKP_TAEKWONDO,Tapis Taekwondo 
MKP_AIKIDO_KENDO,MKP_COMBAT_SPORTS,"Aïkido, Kendo "
MKP_AIKIDO_KENDO_AIKIDO_SUITS,MKP_AIKIDO_KENDO,Kimonos Aïkido 
MKP_AIKIDO_KENDO_WEAPONS,MKP_AIKIDO_KENDO,Armes Aïkido 
MKP_AIKIDO_KENDO_KENDO_ARMOR,MKP_AIKIDO_KENDO,Armures Kendo 
MKP_AIKIDO_KENDO_AIKIDO_HAKAMA,MKP_AIKIDO_KENDO,Hakamas Aïkido 
MKP_AIKIDO_KENDO_BELTS,MKP_AIKIDO_KENDO,Ceintures aïkido 
MKP_AIKIDO_KENDO_ACCESS,MKP_AIKIDO_KENDO,"Accessoires aikido, kendo "
MKP_KUNG_FU,MKP_COMBAT_SPORTS,Kung Fu 
MKP_KUNG_FU_PG,MKP_KUNG_FU,Protections Kung Fu 
MKP_KUNG_FU_WEAPONS,MKP_KUNG_FU,Armes Kung Fu 
MKP_KUNG_FU_CLOTHING,MKP_KUNG_FU,Vêtements Kung Fu 
MKP_KUNG_FU_ACCESS,MKP_KUNG_FU,Accessoires Kung Fu 
MKP_CAPOEIRA,MKP_COMBAT_SPORTS,Capoeira 
MKP_CAPOEIRA_TROUSER,MKP_CAPOEIRA,Pantalons Capoeira 
MKP_CAPOEIRA_INSTRUMENTS,MKP_CAPOEIRA,Instruments Capoeira 
MKP_CAPOEIRA_ACEESS,MKP_CAPOEIRA,Accessoires Capoeira 
MKP_OTHER_SPORTS,MKP_SPORTS_AND_RECREATION,Autres Sports 
MKP_PETANQUE,MKP_OTHER_SPORTS,Pétanque 
MKP_PETANQUE_BOULES,MKP_PETANQUE,Boules de pétanque 
MKP_PETANQUE_ACCESS,MKP_PETANQUE,Accessoires Pétanque 
MKP_ARCHERY,MKP_OTHER_SPORTS,Tir à l'ac 
MKP_ARCHERY_BOWS,MKP_ARCHERY,Arcs 
MKP_ARCHERY_ARROWS,MKP_ARCHERY,Flèches 
MKP_ARCHERY_TARGET,MKP_ARCHERY,Cibles 
MKP_ARCHERY_KITS,MKP_ARCHERY,Kits tir à l'arc 
MKP_ARCHERY_ACCESS,MKP_ARCHERY,Accessoires tir à l'arc 
MKP_FENCING,MKP_OTHER_SPORTS,Escrime 
MKP_FENCING_EPEES,MKP_FENCING,Epées 
MKP_FENCING_FOILS,MKP_FENCING,Fleurets 
MKP_FENCING_SABRES,MKP_FENCING,Sabres 
MKP_FENCING_MASKS_PG,MKP_FENCING,Masques et protections 
MKP_FENCING_SHOES,MKP_FENCING,Chaussures escrime 
MKP_FENCING_CLOTHING,MKP_FENCING,Habillement escrime 
MKP_FENCING_BAGS_LUGAGE,MKP_FENCING,Housses escrime 
MKP_FENCING_ACCESS,MKP_FENCING,Accessoires escrime 
MKP_HUNTING,MKP_OTHER_SPORTS,Chasse 
MKP_HUNTING_EQPT,MKP_HUNTING,Équipement de chasse 
MKP_HUNTING_ACCESSORIES,MKP_HUNTING,Accessoires de chasse 
MKP_HUNTING_SHOES,MKP_HUNTING,"Chaussures de chasse, Bottes de chasse "
MKP_HUNTING_CLOTHING,MKP_HUNTING,Vêtements chasse 
MKP_HUNTING_DOG_EQPT,MKP_HUNTING,Equipement Chien de chasse 
MKP_ATHLETICS,MKP_RUNNING_ATHLETICS,Athlétisme 
MKP_ATHLETICS_CLOTHING,MKP_ATHLETICS,Vêtements athlétisme 
MKP_ATHLETICS_UNDERWEAR,MKP_ATHLETICS,Sous-Vêtements athlétisme 
MKP_ATHLETICS_SHOES,MKP_ATHLETICS,Chaussures athlétisme 
MKP_ATHLETICS_JUMPING_EQPT,MKP_ATHLETICS,Matériel de saut 
MKP_ATHLETICS_RUNNING_EQPT,MKP_ATHLETICS,Matériel de course 
MKP_ATHLETICS_ELECTRONICS,MKP_ATHLETICS,Mesure performance 
MKP_ATHLETICS_THROWING_EQPT,MKP_ATHLETICS,Matériel de lancer 
MKP_ATHLETICS_TRAINING,MKP_ATHLETICS,Matériel d'entrainement athlétisme
MKP_AMERICAN_FOOTBALL,MKP_TEAM_SPORTS,Foot US
MKP_AMERICAN_FOOTBALL_BALL,MKP_AMERICAN_FOOTBALL,Ballons foot US 
MKP_AMERICAN_FOOTBALL_SHOES,MKP_AMERICAN_FOOTBALL,Crampons foot US 
MKP_AMERICAN_FOOTBALL_EQPT,MKP_AMERICAN_FOOTBALL,Equipement foot US 
MKP_AMERICAN_FOOTBALL_ACCESS,MKP_AMERICAN_FOOTBALL,Accesssoires Foot US 
MKP_MOTORBIKE,MKP_OTHER_SPORTS,Auto-Moto 
MKP_MOTORBIKE_CLOTHING,MKP_MOTORBIKE,Equipement du motard 
MKP_MOTORBIKE_HELMET,MKP_MOTORBIKE,Casques moto 
MKP_MOTORBIKE_PG,MKP_MOTORBIKE,Protections Auto-Moto 
MKP_MOTORBIKE_MOTOCROSS_EQPT,MKP_MOTORBIKE,Equipement motocross 
MKP_MOTORBIKE_ACCESS,MKP_MOTORBIKE,Accessoires auto-moto 
MKP_MOTORBIKE_TIRES,MKP_MOTORBIKE,Pneus moto 
MKP_GOLF,MKP_OTHER_SPORTS,Golf
MKP_GOLF_BALLS,MKP_GOLF,Balles de golf 
MKP_GOLF_CLUBS,MKP_GOLF,Clubs de golf 
MKP_GOLF_CLOTHING,MKP_GOLF,Vêtements golf 
